state,date_released,date_added,age,percent_of_vac,percent_coverage,dose,population
New York,6/3/2021,6/3/2021,12_15,,23%,,900944
New York,6/3/2021,6/3/2021,16_25,,47%,,2550872
New York,6/3/2021,6/3/2021,26_34,,53%,,2590633
New York,6/3/2021,6/3/2021,35_44,,62%,,2431864
New York,6/3/2021,6/3/2021,45_54,,65%,,2555129
New York,6/3/2021,6/3/2021,55_64,,76%,,2594621
New York,6/3/2021,6/3/2021,65_74,,86%,,1809120
New York,6/3/2021,6/3/2021,75_100,,78%,,1404414
North Dakota,5/30/2021,6/4/2021,12_18,,15%,,
North Dakota,5/30/2021,6/4/2021,19_29,,30%,,
North Dakota,5/30/2021,6/4/2021,30_39,,37%,,
North Dakota,5/30/2021,6/4/2021,40_49,,48%,,
North Dakota,5/30/2021,6/4/2021,50_59,,55%,,
North Dakota,5/30/2021,6/4/2021,60_69,,67%,,
North Dakota,5/30/2021,6/4/2021,70_79,,73%,,
North Dakota,5/30/2021,6/4/2021,80_100,,77%,,
North Dakota,5/23/2021,6/4/2021,12_18,,14%,,
North Dakota,5/23/2021,6/4/2021,19_29,,30%,,
North Dakota,5/23/2021,6/4/2021,30_39,,37%,,
North Dakota,5/23/2021,6/4/2021,40_49,,48%,,
North Dakota,5/23/2021,6/4/2021,50_59,,55%,,
North Dakota,5/23/2021,6/4/2021,60_69,,67%,,
North Dakota,5/23/2021,6/4/2021,70_79,,73%,,
North Dakota,5/23/2021,6/4/2021,80_100,,77%,,
North Dakota,5/16/2021,6/4/2021,12_18,,12%,,
North Dakota,5/16/2021,6/4/2021,19_29,,29%,,
North Dakota,5/16/2021,6/4/2021,30_39,,36%,,
North Dakota,5/16/2021,6/4/2021,40_49,,47%,,
North Dakota,5/16/2021,6/4/2021,50_59,,55%,,
North Dakota,5/16/2021,6/4/2021,60_69,,66%,,
North Dakota,5/16/2021,6/4/2021,70_79,,72%,,
North Dakota,5/16/2021,6/4/2021,80_100,,77%,,
North Dakota,5/9/2021,6/4/2021,12_18,,9%,,
North Dakota,5/9/2021,6/4/2021,19_29,,28%,,
North Dakota,5/9/2021,6/4/2021,30_39,,36%,,
North Dakota,5/9/2021,6/4/2021,40_49,,46%,,
North Dakota,5/9/2021,6/4/2021,50_59,,54%,,
North Dakota,5/9/2021,6/4/2021,60_69,,66%,,
North Dakota,5/9/2021,6/4/2021,70_79,,72%,,
North Dakota,5/9/2021,6/4/2021,80_100,,76%,,
North Dakota,5/2/2021,6/4/2021,12_18,,8%,,
North Dakota,5/2/2021,6/4/2021,19_29,,28%,,
North Dakota,5/2/2021,6/4/2021,30_39,,35%,,
North Dakota,5/2/2021,6/4/2021,40_49,,46%,,
North Dakota,5/2/2021,6/4/2021,50_59,,53%,,
North Dakota,5/2/2021,6/4/2021,60_69,,66%,,
North Dakota,5/2/2021,6/4/2021,70_79,,72%,,
North Dakota,5/2/2021,6/4/2021,80_100,,76%,,
North Dakota,4/25/2021,6/4/2021,12_18,,8%,,
North Dakota,4/25/2021,6/4/2021,19_29,,27%,,
North Dakota,4/25/2021,6/4/2021,30_39,,34%,,
North Dakota,4/25/2021,6/4/2021,40_49,,45%,,
North Dakota,4/25/2021,6/4/2021,50_59,,52%,,
North Dakota,4/25/2021,6/4/2021,60_69,,65%,,
North Dakota,4/25/2021,6/4/2021,70_79,,71%,,
North Dakota,4/25/2021,6/4/2021,80_100,,76%,,
North Dakota,4/18/2021,6/4/2021,12_18,,7%,,
North Dakota,4/18/2021,6/4/2021,19_29,,26%,,
North Dakota,4/18/2021,6/4/2021,30_39,,33%,,
North Dakota,4/18/2021,6/4/2021,40_49,,44%,,
North Dakota,4/18/2021,6/4/2021,50_59,,52%,,
North Dakota,4/18/2021,6/4/2021,60_69,,64%,,
North Dakota,4/18/2021,6/4/2021,70_79,,71%,,
North Dakota,4/18/2021,6/4/2021,80_100,,76%,,
North Dakota,4/11/2021,6/4/2021,12_18,,7%,,
North Dakota,4/11/2021,6/4/2021,19_29,,25%,,
North Dakota,4/11/2021,6/4/2021,30_39,,33%,,
North Dakota,4/11/2021,6/4/2021,40_49,,43%,,
North Dakota,4/11/2021,6/4/2021,50_59,,50%,,
North Dakota,4/11/2021,6/4/2021,60_69,,64%,,
North Dakota,4/11/2021,6/4/2021,70_79,,71%,,
North Dakota,4/11/2021,6/4/2021,80_100,,75%,,
North Dakota,4/4/2021,6/4/2021,12_18,,6%,,
North Dakota,4/4/2021,6/4/2021,19_29,,23%,,
North Dakota,4/4/2021,6/4/2021,30_39,,31%,,
North Dakota,4/4/2021,6/4/2021,40_49,,41%,,
North Dakota,4/4/2021,6/4/2021,50_59,,49%,,
North Dakota,4/4/2021,6/4/2021,60_69,,63%,,
North Dakota,4/4/2021,6/4/2021,70_79,,70%,,
North Dakota,4/4/2021,6/4/2021,80_100,,75%,,
North Dakota,3/28/2021,6/4/2021,12_18,,4%,,
North Dakota,3/28/2021,6/4/2021,19_29,,20%,,
North Dakota,3/28/2021,6/4/2021,30_39,,29%,,
North Dakota,3/28/2021,6/4/2021,40_49,,39%,,
North Dakota,3/28/2021,6/4/2021,50_59,,46%,,
North Dakota,3/28/2021,6/4/2021,60_69,,60%,,
North Dakota,3/28/2021,6/4/2021,70_79,,69%,,
North Dakota,3/28/2021,6/4/2021,80_100,,74%,,
North Dakota,3/21/2021,6/4/2021,12_18,,3%,,
North Dakota,3/21/2021,6/4/2021,19_29,,18%,,
North Dakota,3/21/2021,6/4/2021,30_39,,26%,,
North Dakota,3/21/2021,6/4/2021,40_49,,35%,,
North Dakota,3/21/2021,6/4/2021,50_59,,42%,,
North Dakota,3/21/2021,6/4/2021,60_69,,58%,,
North Dakota,3/21/2021,6/4/2021,70_79,,68%,,
North Dakota,3/21/2021,6/4/2021,80_100,,74%,,
North Dakota,3/14/2021,6/4/2021,12_18,,2%,,
North Dakota,3/14/2021,6/4/2021,19_29,,15%,,
North Dakota,3/14/2021,6/4/2021,30_39,,23%,,
North Dakota,3/14/2021,6/4/2021,40_49,,31%,,
North Dakota,3/14/2021,6/4/2021,50_59,,38%,,
North Dakota,3/14/2021,6/4/2021,60_69,,54%,,
North Dakota,3/14/2021,6/4/2021,70_79,,67%,,
North Dakota,3/14/2021,6/4/2021,80_100,,73%,,
North Dakota,3/7/2021,6/4/2021,12_18,,2%,,
North Dakota,3/7/2021,6/4/2021,19_29,,13%,,
North Dakota,3/7/2021,6/4/2021,30_39,,19%,,
North Dakota,3/7/2021,6/4/2021,40_49,,25%,,
North Dakota,3/7/2021,6/4/2021,50_59,,31%,,
North Dakota,3/7/2021,6/4/2021,60_69,,50%,,
North Dakota,3/7/2021,6/4/2021,70_79,,65%,,
North Dakota,3/7/2021,6/4/2021,80_100,,72%,,
North Dakota,2/28/2021,6/4/2021,12_18,,1%,,
North Dakota,2/28/2021,6/4/2021,19_29,,10%,,
North Dakota,2/28/2021,6/4/2021,30_39,,14%,,
North Dakota,2/28/2021,6/4/2021,40_49,,19%,,
North Dakota,2/28/2021,6/4/2021,50_59,,24%,,
North Dakota,2/28/2021,6/4/2021,60_69,,44%,,
